dataset,scene,method,num_disparities,all_pixels_gt,all_pixels_valid_pred,all_coverage_percent,all_mae,all_rmse,all_bad1_percent,all_bad2_percent,all_bad4_percent,nocc_pixels_gt,nocc_pixels_valid_pred,nocc_coverage_percent,nocc_mae,nocc_rmse,nocc_bad1_percent,nocc_bad2_percent,nocc_bad4_percent,point_cloud_points
ETH3D,delivery_area_1l,bm,128,344671,168922,49.00963527537855,0.35491594672203064,3.277517080307007,2.2667266549058143,0.7251867725932679,0.42564023632208947,330771,159205,48.1314867385593,0.362154096364975,3.3586926460266113,2.252441820294589,0.7462077196067962,0.4478502559592977,159205
ETH3D,delivery_area_1l,sgbm,128,344671,284877,82.65186221062984,0.4109087586402893,0.6574429869651794,9.96043906668492,2.2430733263829654,0.13023164383225042,330771,273437,82.66655783003951,0.41434726119041443,0.6618345379829407,10.13578996258736,2.2703584372268564,0.1338516733287741,200000
ETH3D,delivery_area_1l,sgbm_bilateral,128,344671,284877,82.65186221062984,0.3626704514026642,0.5981425642967224,7.812845543866301,1.774098997111034,0.14041147582991959,330771,273437,82.66655783003951,0.36550262570381165,0.6022225022315979,7.940768805977245,1.7985861459860955,0.14372597709892956,200000
ETH3D,delivery_area_1s,bm,128,214454,135138,63.01491228888246,0.2577627897262573,2.195953607559204,1.1047965783125397,0.3522325326703074,0.2811940386863799,203005,129928,64.00236447378144,0.2569718360900879,2.2271206378936768,1.0736715719475403,0.3394187550027708,0.277846191736962,129928
ETH3D,delivery_area_1s,sgbm,128,214454,177368,82.70678094136737,0.25327667593955994,0.4708917438983917,2.108610346849488,0.19000045103964638,0.09359072662487032,203005,170058,83.77035048397823,0.2502424120903015,0.4508178234100342,2.165143656870009,0.17817450516882477,0.08232485387338437,170058
ETH3D,delivery_area_1s,sgbm_bilateral,128,214454,177368,82.70678094136737,0.2621574401855469,0.5078011155128479,3.5570114113030535,1.0475395787289703,0.12290830363988994,203005,170058,83.77035048397823,0.2600780725479126,0.49631914496421814,3.6217055357583883,1.0549341989203682,0.11231462207011726,170058
ETH3D,delivery_area_2l,bm,128,372521,113346,30.426741042786848,0.7425656318664551,5.952566623687744,7.809715384751116,2.3167998870714452,0.7269775730947717,361026,107520,29.781788569244323,0.7525100111961365,6.073913097381592,7.380952380952381,2.054501488095238,0.7552083333333334,107520
ETH3D,delivery_area_2l,sgbm,128,372521,310641,83.3888559302697,0.6595657467842102,0.9552707076072693,21.728941124964187,5.725902247288671,0.3318943732475752,361026,301279,83.45077639837574,0.660516619682312,0.9537719488143921,21.78113974090461,5.6605339237052705,0.32760331785487873,200000
ETH3D,delivery_area_2l,sgbm_bilateral,128,372521,310641,83.3888559302697,0.5763853192329407,0.8381553292274475,17.260116983913907,3.893562021755016,0.15355345881580346,361026,301279,83.45077639837574,0.5766843557357788,0.8360419273376465,17.25510241337763,3.814736506693132,0.1560015799308946,200000
ETH3D,delivery_area_2s,bm,128,231603,96647,41.729597630427925,0.660300076007843,5.0509562492370605,7.41254255176053,3.651432532825644,0.799817893985328,223748,93308,41.70227219908111,0.6507670283317566,5.1205878257751465,6.73468512882068,3.121918806533202,0.8048613195010074,93308
ETH3D,delivery_area_2s,sgbm,128,231603,166292,71.80045163490973,1.2984851598739624,9.576473236083984,11.201380703822192,3.205205301517812,1.0854400692757318,223748,160958,71.93717932674258,1.3126696348190308,9.713312149047852,10.766783881509461,2.9417612047863417,1.111470072938282,160958
ETH3D,delivery_area_2s,sgbm_bilateral,128,231603,166292,71.80045163490973,1.275801420211792,9.556838035583496,10.438866572053977,3.2605296706997327,1.1257306424843048,223748,160958,71.93717932674258,1.2907392978668213,9.693617820739746,10.023111619180158,3.0156935349594303,1.1580660793498927,160958
ETH3D,delivery_area_3l,bm,128,410699,152456,37.121103289757215,0.6059179306030273,5.15902853012085,3.9467124940966576,2.1265151912683007,1.7729705619982157,399215,145899,36.546472452187416,0.5339434146881104,5.196377754211426,2.7943988649682314,0.9568262976442609,0.6340002330379235,145899
ETH3D,delivery_area_3l,sgbm,128,410699,349803,85.17259598878985,0.5917845964431763,1.0423245429992676,16.48356360580098,4.744384696529189,1.1432148952410357,399215,342831,85.876282203825,0.5666776299476624,0.9239168167114258,16.312118799058428,4.393418331481109,0.7510989379606862,200000
ETH3D,delivery_area_3l,sgbm_bilateral,128,410699,349803,85.17259598878985,0.5565723180770874,0.9870865345001221,14.962707581124231,4.443358118712532,1.1938148043327244,399215,342831,85.876282203825,0.5381461977958679,0.906521737575531,14.778126832170955,4.113688668760993,0.8776919240092057,200000
ETH3D,delivery_area_3s,bm,128,274705,101548,36.96620010556779,1.4348665475845337,8.893186569213867,6.061173041320361,4.2767952101469255,4.0128806081852915,263101,94504,35.91928574957906,1.3293174505233765,9.04927921295166,4.441081858968932,2.6390417336832304,2.356514009988995,94504
ETH3D,delivery_area_3s,sgbm,128,274705,197132,71.76134398718625,1.2301102876663208,6.6411662101745605,11.400482925146601,3.7375971430310657,2.5378933912302415,263101,189473,72.0153097099593,1.1472147703170776,6.6336565017700195,10.653232914452191,2.750259931494197,1.5041720983992444,189473
ETH3D,delivery_area_3s,sgbm_bilateral,128,274705,197132,71.76134398718625,1.162851333618164,6.524034023284912,10.308321327841243,3.759409938518353,2.4562222267313274,263101,189473,72.0153097099593,1.098198652267456,6.547907829284668,9.52589551017823,2.7903711874515102,1.4851720297878854,189473
ETH3D,electro_1l,bm,128,378984,219995,58.048624744052525,0.7040360569953918,5.80228853225708,2.760971840269097,1.7495852178458602,1.2427555171708449,369772,215534,58.288350659325204,0.704857587814331,5.849185943603516,2.5768556237067006,1.6633106609630035,1.2448152031698014,200000
ETH3D,electro_1l,sgbm,128,378984,311659,82.23539780043485,0.3728824555873871,0.5583450794219971,4.090367998357179,1.5946916341257593,0.09305041728299199,369772,306152,82.79480328418593,0.3699689507484436,0.5525215268135071,3.9663304502338708,1.5315921503044239,0.0934176487496407,200000
ETH3D,electro_1l,sgbm_bilateral,128,378984,311659,82.23539780043485,0.3814629316329956,0.6089176535606384,4.948036154900067,2.0567350854619955,0.18866774262896305,369772,306152,82.79480328418593,0.37875503301620483,0.6054874062538147,4.780631843006089,2.0215448535368052,0.19206145966709345,200000
ETH3D,electro_1s,bm,128,233982,96916,41.42028019249344,0.5696154832839966,5.185832500457764,2.603285319245532,2.086342812332329,1.2577902513516859,224717,94985,42.26872021253399,0.5585440397262573,5.148365497589111,2.4688108648734013,2.0234773911670265,1.2317734379112493,94985
ETH3D,electro_1s,sgbm,128,233982,173972,74.35272798762298,0.3710136413574219,0.6998307704925537,7.427632032740901,3.089002828041294,0.2810797139769618,224717,170534,75.88833955597485,0.3712332546710968,0.6988746523857117,7.450127247352434,3.0738738316112917,0.2773640447066274,170534
ETH3D,electro_1s,sgbm_bilateral,128,233982,173972,74.35272798762298,0.41052332520484924,0.8005348443984985,9.466465868070724,4.397259329087439,0.47996229278274666,224717,170534,75.88833955597485,0.40209782123565674,0.7826111316680908,9.144803968710052,4.1768796838167175,0.4614915500721264,170534
ETH3D,electro_2l,bm,128,207786,175110,84.2742051918801,0.814969539642334,7.420231819152832,2.2911312889041175,1.6332590942835932,1.153560619039461,204227,172672,84.54905570761946,0.8225228190422058,7.472294807434082,2.2852575982209045,1.6557403632320236,1.1698480355819125,172672
ETH3D,electro_2l,sgbm,128,207786,194101,93.41389699017259,0.3309982419013977,0.6561058759689331,2.9783463248514948,1.6769619940134262,0.6604808836636596,204227,191488,93.76233309013989,0.332201212644577,0.6596411466598511,3.0163770053475933,1.699323195187166,0.6694936497326203,191488
ETH3D,electro_2l,sgbm_bilateral,128,207786,194101,93.41389699017259,0.32178449630737305,0.6030983328819275,3.2385201518796918,1.6764467983163402,0.5234388282389065,204227,191488,93.76233309013989,0.32307735085487366,0.6063111424446106,3.280101102941176,1.698278743315508,0.5305815508021391,191488
ETH3D,electro_2s,bm,128,100978,53573,53.05413060270554,0.49003109335899353,3.5728158950805664,3.061243536856252,2.353797621936423,2.3332648908965337,95712,52300,54.64309595453025,0.4935903251171112,3.6148483753204346,3.068833652007648,2.3996175908221797,2.3785850860420648,52300
ETH3D,electro_2s,sgbm,128,100978,70760,70.07466973004021,0.3720013499259949,1.021130919456482,5.03391746749576,2.2639909553420012,1.977105709440362,95712,69216,72.31695085255767,0.37452569603919983,1.0313985347747803,5.136095700416089,2.3058252427184467,2.021208969024503,69216
ETH3D,electro_2s,sgbm_bilateral,128,100978,70760,70.07466973004021,0.40789058804512024,1.0241332054138184,7.49152063312606,4.139344262295082,1.924816280384398,95712,69216,72.31695085255767,0.41172757744789124,1.0347144603729248,7.65574433656958,4.2316805362921865,1.9677531206657422,69216
ETH3D,electro_3l,bm,128,275094,91676,33.32533606694439,0.9472735524177551,5.871786117553711,7.6377677909158335,4.2562939046206205,3.4000174527684455,266377,85633,32.14729499919287,0.8861982226371765,5.950876235961914,6.383053262176965,3.04555486786636,2.257307346466899,85633
